id,title,content
3158,Big Hero 6: The Series,"As the new prodigy at San Fransokyo Institute of Technology, Hiro now faces daunting academic challenges and the social trials of being the little man on campus. Off campus, the stakes are ..."
3159,Bizaardvark,Centers on best friends Paige and Frankie who express their offbeat individuality through funny music videos on their vlog channel Bizaardvark.
3160,Den Brother,A high school hockey player forced to lead his sister's Girl Guide troop.
3161,Descendants,The teenage son of the king and queen of Auradon offers the trouble-making children of villains a chance to attend prep school in the kingdom.
3162,Descendants: Wicked World,"After the coronation, the villain kids, Mal (Dove Cameron), Evie (Sofia Carson), Jay (Booboo Stewart), and Carlos (Cameron Boyce) use their one shot at being good while the dreadful and villainous parents roam the Isle Of The Lost."
3163,,
3164,The Evermoor Chronicles,"A young girl and her blended family move to the small cottage town of Evermoor. All is well until sinister things start to happen, magic tapestries, an enchanted typewriter. Only a few of the strange things found in the town of Evermoor."
3165,Family Sundays,Amber Kemp Gerstel hosts a crafting show bringing families together through the wonderful world of Disney inspired DIYs.
3166,Fancy Nancy,The story of a young girl who loves to wear fancy clothes.
3167,Fast Layne,"Twelve-year-old over-achiever Layne finds her orderly life thrown into a tailspin when she discovers a sophisticated talking car named ""V.I.N."" hidden in an abandoned shed."
3168,,
3169,Girl Vs. Monster,A teen girl goes on a mission to recapture a dangerous monster that she accidentally released before it can do harm to her parents.
3170,Gravity Falls,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
3171,,
3172,I Didn't Do It,Centers on ultra-competitive fraternal twins Lindy and Logan Watson who navigate high school together with their best friends.
3173,Insider,N/A
3174,Jake and the Never Land Pirates,An animated TV show that follows a band of young pirates who spend their days competing against Captain Hook and Mr. Smee for treasure.
3175,Jonas,The show follows the Jonas Brothers through fun and unusual situations as they try to live ordinary lives.
3176,Disney Junior Music Nursery Rhymes,N/A
3177,K.C. Undercover,An outspoken and confident technology wiz and skilled black belt discovers that both her parents are spies and expect her to follow in their footsteps.
3178,,
3179,Lab Rats: Elite Force,"When Mighty Med hospital is destroyed, bionic heroes Bree and Chase join superheroes Kaz, Oliver, and Skylar to form an Elite Force and take down those responsible for the attack."
3180,Legend of the Three Caballeros,"Donald Duck, Jóse Carioca and Panchito Pistoles find themselves inheritors of a heroic legacy, and resume their ancestors' quest with the aid of a valiant Greek goddess."
3181,,
3182,Mickey Mouse Clubhouse,"Mickey and his friends Minnie, Donald, Pluto, Daisy, Goofy, Pete, Clarabelle and more go on fun and educational adventures."
3183,Milo Murphy's Law,"An animated comedy adventure series that follows 13-year-old Milo Murphy, the fictional great-great-great-great grandson of the Murphy's Law namesake. Additionally, Dakota and Cavendish come from the future to prevent pistachio extinction."
3184,Minnie's Bow-Toons,Minnie and daisy open a bow shop in which they help people and have adventures.
3185,Phineas and Ferb: Star Wars,Phineas and Ferb travel to a galaxy far far away to help out some rebel heroes.
3186,,
3187,,
3188,Randy Cunningham: 9th Grade Ninja,An ordinary ninth grader is chosen to become The Ninja. He is tasked with protecting the town from evil as well as balancing his school life with friends and homework.
3189,Raven's Home,"Though Raven Baxter is psychic, she would've never guess she'd be a single mother living in an apartment with her twins Nia and Booker Baxter and her best friend Chelsea and son Levi."
3190,Star vs. the Forces of Evil,"Star Butterfly arrives on Earth to live with the Diaz, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her."
3191,Stuck in the Middle,Teenager Harley Diaz maneuvers her way through the bustle of being a middle child in a family with six other siblings.
3192,Sydney to the Max,"Set in the present day with flashbacks to the 1990s, the comedy revolves around outgoing middle school Sydney Reynolds who lives with her single dad Max and with her progressive grandmother Judy--three generations under one roof."
3193,Take Two with Phineas and Ferb,Animated characters Phineas and Ferb interview live-action celebrities on their talk show.
3194,,
3195,The Lion Guard,"Kion, the son of Simba, leads his friends known as the Lion Guard to protect the Pride Lands."
3196,Under the Sea: A Descendants Story,Mal emerges from the shadows of a mystical forest onto a dark coastline where she crosses paths with Dizzy.
3197,Vampirina,"""Vampirina"" tells the story of a young vampire girl who faces the joys and trials of being the new kid in town when her family moves from Transylvania to Pennsylvania."
3198,,
3199,Adventures of the Gummi Bears,A group of reclusive humanoid bears and a few trusted humans explore their lost heritage and prevent their enemies from exploiting it.
3200,Disney's Doug,"Disney's Doug follows 12 1/2 year old Doug Funnie in his town of Bluffington. With his best human friend Skeeter Valentine and best non-human friend (also his dog) Porkchop, they have great..."
3201,DuckTales,The globe-trotting treasure-hunting money-making adventures of billionaire Scrooge McDuck and his nephews.
3202,,
3203,Holiday Magic,"Disney's Fairy Tale Weddings returned to Freeform for a TV special highlighting gorgeous holiday weddings at Disney Parks. Hosted by Stephen ""tWitch"" Boss, resident DJ for ""The Ellen Show"" ..."
3204,Hercules,"This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him."
3205,Kim Possible,A high school cheerleader and her accident-prone best friend balance their duties as global crime-fighters with the typical challenges of adolescence.
3206,Little Einsteins,Four friends go on missions with their ever changing rocket ship. Every mission includes a classic song and a painting.
3207,Mighty Ducks,A team of humanoid duck ice hockey team/freedom fighters fight evil between games.
3208,Recess,"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority."
3209,The Emperor's New School,"Continuation of 2000's The Emperor's New Groove, showcasing Kuzco's attempts to graduate from his kingdom's school, and his former advisor Yzma's evil attempts to keep him from his goal."
3210,The Kid,An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.
3211,The Little Mermaid,The 1989 animated feature adapted by Disney for television in a prequel that leads up to the events of the movie.
3212,Disneyland Around the Seasons,"Walt takes viewers on yet another tour of Disneyland to point out some of the newest additions to the park, including New Orleans Square, It's a Small World and Great Moments With Mr. Lincoln."
3213,African Cats,A nature documentary centered on two cat families and how they teach their cubs the ways of the wild.
3214,Bears,A documentary that follows an Alaskan bear family as its young cubs are taught life's most important lessons.
3215,Born in China,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs."
4050,Chimpanzee,A 3-month-old chimpanzee is separated from his troop and is then adopted by a fully-grown male.
4051,The Crimson Wing: Mystery of the Flamingos,The mysterious lives of flamingos are captured on film with a birds-eye view of the animals living in Africa.
4052,Monkey Kingdom,"A nature documentary that follows a newborn monkey and its mother as they struggle to survive within the competitive social hierarchy of the Temple Troop, a dynamic group of monkeys who ..."
4053,Penguins,"A coming-of-age story about an Adélie penguin named Steve who joins millions of fellow males in the icy Antarctic spring on a quest to build a suitable nest, find a life partner and start a family."
4054,Disneynature: Wings of Life,A documentary that delves into the realm of flowers and their pollinators.
4055,Diving with Dolphins,"A documentary showing the making of ""Dolphin Reef"""
4056,Doc McStuffins,"""Doc McStuffins"" is an imaginative animated series about Doc McStuffins, a young girl who aspires to be a doctor like her mom and communicates with and heals broken toys and stuffed animals."
4057,Doctor Dolittle,A doctor discovers that he can communicate with animals.
4058,Dr. Dolittle 2,Dolittle must save a forest and a bear's life.
4059,Dog Whisperer with Cesar Millan,Dog lover Cesar Millan has an uncanny ability to rehabilitate problem dogs of all shapes and sizes.
4060,Dog: Impossible,Dog Behavior Specialist Matt Beisner Take on Some Very Bad Dogs.
4061,Dolphin Reef,"Echo, a young Pacific dolphin, seems far more interested in exploring his spectacular coral reef home than learning to survive in it. But lessons from his family may encourage Echo to master his vital role in the marine community."
4062,Don's Fountain of Youth,"The boys are more interested in their comic book than the sights on their Florida vacation. When the car breaks down next to the spring ""mistaken for the fountain of youth"", Donald decides ..."
4063,Don't Look Under the Bed,"A teen enlists the help of an imaginary friend named Larry Houdini to deal with a prank-playing bogeyman, who's framing her for his dastardly deeds."
4064,Donald's Dog Laundry,"Donald Duck builds an automated dog washer while an unsuspecting Pluto naps nearby. When Donald finishes and announces his plan to use Pluto as his test subject, a battle of wills ensues, ..."
4065,Donald's Golf Game,"Donald is golfing, and his nephews are along to ""help."" Between their noise and their practical jokes, Donald isn't having a lot of fun or success with his game."
4066,Donald's Tire Trouble,After Donald drives away until blows up to tire and crash to underground.
4067,Double Dribble,"It's the big college basketball game; everyone playing looks like Goofy, and he's the only fan of the visiting team P.U."
4068,Double Teamed,Two sisters become world-famous basketball players.
4069,Doug's 1st Movie,Doug and his pal Skeeter set out to find the monster of Lucky Duck Lake.
4070,"Dr. Oakley, Yukon Vet","Dr. Oakley is the only vet in her area of the Yukon. She treats domestic pets, endangered wildlife, farm animals--basically anything that walks on fours, crawls, flies. All of that- plus she's a wife and a mom of three girls."
4071,"Dr. T, Lone Star Vet","Dr. Lauren Thielen (Dr. T) is back home in Texas to open her very own exotic animal practice, located alongside one of the state's largest and busiest animal hospitals. With the support of ..."
4072,Dragon Around,"Chip and Dale think they see a dragon coming toward their tree. It's really just Donald with a power shovel, clearing the way for a freeway, but he decides to play along, fitting a welding ..."
4073,Drain Alcatraz,N/A
4074,Drain the Bermuda Triangle,N/A
4075,Drain the Great Lakes,Scientists and film makers take us to the bottom of the Great Lakes and show us what the bottoms are like and go back in history when they formed.
4076,Drain the Ocean: WWII,"World War II left the greatest-ever number of ships and submarines hidden beneath the waves. Now, as the oceans drain, each vessel reveals its secrets through new data-based 3D ..."
4077,Drain the Oceans,"By scanning the locations at the bottom of the ocean where sunken ships, treasures and even cities lie, the show tries to answer what they look like, how they got there and if they hide any secrets."
