,question,answer,doc num,sentences num,answer sentence
69,Where did the Zahringer ruling family rise to power?,Upper Burgundy,0,0,n/a
70,What is the formal name of Westminster Abbey?,the Collegiate Church of St Peter at Westminster,0,0,n/a
71,What is the name of the French equivalent of GRECO?,Groupe d'Etats contre la corruption,0,0,n/a
73,"When were independent states as Czechoslovakia, the Second Polish Republic, and the State of Slovenes, Croats and Serbs established?",In 1918,0,0,n/a
74,Who led the invasion of Southampton in the 14th century by the French and others?,Charles Grimaldi,0,0,n/a
76,Where does Edvard Broz live?,Bosnia-Herzegovina,0,0,n/a
77,How often are elections held in the Marshall Islands?,every four years,0,0,n/a
79,"Who did Virgil recite Books 2, 4, and 6 of the Aeneid to?",Augustus,0,0,n/a
82,What area was known as the Slave Coast?,Portuguese Guinea,0,0,n/a
85,Who was a diplomat and military officer?,Gordon,0,0,n/a
86,How many major metropolitan centers were there in the south at the time?,three,0,0,n/a
87,What publication released a report about the Ministry of Defence in 2002?,the Guardian,0,0,n/a
89,What species of hardwood are hickory and mulberry trees?,ring-porous,0,0,n/a
91,What Bohemian movement was influenced by Wycliffe?,Hussitism,0,0,n/a
92,What is the act of analyzing morphophones called?,morphophonology,0,0,n/a
93,The US-buils ENIAC stands for what?,Electronic Numerical Integrator and Computer),0,0,n/a
95,Which side did The Times support in the fighting that broke out in Athens in 1944?,Communists,0,0,n/a
96,What is one type of architecture that heavily influenced the New Delhi town plan?,Hindu,0,0,n/a
97,Which birds did they reintroduce to the US?,whooping cranes,0,0,n/a
99,"The term ""antigen"" is rooted in what two words?","""anti""body ""gen""erators",0,0,n/a
101,Who founded the group Phuture?,"Nathan ""DJ Pierre"" Jones, Earl ""Spanky"" Smith Jr., and Herbert ""Herb J"" Jackson",0,0,n/a
103,In which year was the body installed?,1826,0,0,n/a
106,A defeat by which team eliminated England from the 1970 FIFA World Cup?,West Germany,0,0,n/a
107,What was the first public television station in the US?,KUHT (HoustonPBS),0,0,n/a
109,What is the permutation when a person commits to identity choices?,identity achievement,0,0,n/a
114,What is the origin of Jewish Law?,Divine,0,0,n/a
116,What vegetable is sometimes used as a grain source for beer in Brazil?,potato,0,0,n/a
118,What was the name of the act introduced in the year 1900?,Gold Standard Act,0,0,n/a
121,The neurobiological explanation is specific to what types of brains?,mammalian,0,0,n/a
122,"What position did the song ""Here We Go"" by the Everton FC peak at on the UK pop charts in 1985?",14,0,0,n/a
123,In what century was Old English first used?,5th,0,0,n/a
124,What setback happened to Sao Paula in 2012?,another major fire,0,0,n/a
126,What is the Brythonic kingdom of Rheged?,a successor entity to the Brigantes tribe,0,0,n/a
128,What is one area where teleconferencing could not be used?,telemedicine,0,0,n/a
129,What difference in dating caused the use of double-dating documents?,different beginnings of the year,0,0,n/a
130,The 360 Pro's original storage was replaced by a hard drive of what size in 2008?,60 GB,0,0,n/a
131,What was the Confederate overall strategy to win the Civil War?,getting Britain and France to intervene,0,0,n/a
132,Who recorded the album School's Out?,Alice Cooper,0,0,n/a
133,"who declated the American frontier ""closed"" in 1893?",Frederick Jackson Turner,0,0,n/a
139,How long was the stadium closed?,six months,0,0,n/a
141,"Which verse in Luke states that Mary had ""no relations with man"" before Jesus' birth?",1:34,0,0,n/a
143,When did Richard become king?,September 1189,0,0,n/a
147,What was Valencia's population in 1860?,"140,416",0,0,n/a
148,On what street in New York was GE headquartered before moving to Fairfield?,Lexington Avenue,0,0,n/a
149,In what year did the Milita Act take place?,1903,0,0,n/a
155,Where was Queen Elizabeth ll not Head of State?,citizens of nations,0,0,n/a
156,How long did the suppression of time clues study last?,month,0,0,n/a
157,What did Crawford report that some of the King's advisers thought of Philip?,good enough,0,0,n/a
158,Which ideas do scientist lean towards causing sexual orientation?,"They favor biologically-based theories, which point to genetic factors, the early uterine environment, both, or the inclusion of genetic and social factors",0,0,n/a
159,What company did Dell team with in late 2008?,Dick Smith Electronics,0,0,n/a
162,what was it called in Japan?,Family Computer,0,0,n/a
163,What party benefited from the accession of Valens?,Arian,0,0,n/a
165,What is the minimum age researchers think a child begins to have memory?,. A growing body of research now indicates that infants as young as 6-months can recall information,0,0,n/a
166,What does mulatto mean?,visible European ancestry in addition to African,0,0,n/a
168,What did the TRIPS agreement accomplish?,countries must allow pharmaceutical products to be patented,0,0,n/a
169,What was Marwan II's name before he became caliph?,Marwan ibn Muhammad,0,0,n/a
171,Who came in line for the throne before Victoria?,her father and his three older brothers,0,0,n/a
172,Who was the successor to the Duke of Clermont?,Duke of Orléans,0,0,n/a
174,What years did Queen Teutra reign?,231 BC to 227 BCE,0,0,n/a
175,what is a key aspect of the gates foundation in the US,A key aspect of the Gates Foundation's U.S. efforts involves an overhaul of the country's education policies at both the K-12 and college levels,0,0,n/a
176,What had the population grown to in 1908?,"309,331 inhabitants",0,0,n/a
177,What is considered the most alarming setting for chickens to be raised in?,Barn systems have been found to have the worst bird welfare.,0,0,n/a
178,What's the most commonly spoken regional language in the Netherlands?,Limburgish,0,0,n/a
180,What is the color rendering index of an incandescent light?,100,0,0,n/a
181,What manager updated the players uniforms in 1933?,Herbert Chapman,0,0,n/a
182,Using animal fur as clothing was once considered what?,uncontroversial,0,0,n/a
183,How big is the jumbotron going to be?,"6,000-square foot",0,0,n/a
185,What is the U.S. law that uses the WIPO Copyright as it's Title I?,DMCA,0,0,n/a
186,Music without any form of instrumental accompaniment is known as what? ,monophonic,0,0,n/a
188,From which group did amniotes descendents of?,reptiliomorph amphibious tetrapods,0,0,n/a
189,what was the type of  Revolution that allowed Britian to move ahead of its European rivals?,Industrial Revolution,0,0,n/a
191,What is wrestling sometimes called?,"""soap opera for males""",0,0,n/a
193,Street vendors might sell their goods in official places as well as where?,non-officially controlled concentrations around metro stations and hospitals,0,0,n/a
195,In what did Emperor Augustus order the conquest of the Germans? ,12 BC,0,0,n/a
196,"According to the UN report, what was the count of people who perished due to famine?",4 to 10 million,0,0,n/a
197,Which award winning ESPN sports writer graduated form BYU?,Sharlene Wells Hawkes,0,0,n/a
198,When did GUM begin to decline and lose power? ,late 1920s,0,0,n/a
202,Who brought Catholicism into New Mexico?,Spanish Conquistadors,0,0,n/a
204,Who doesn't benefit from the predator-prey interaction? ,the individuals preyed upon,0,0,n/a
205,"In the Marvel Universe, the public treated conferred what response on the Fantastic Four?",celebrity status,0,0,n/a
207,What is the term for asexual cloning?,Apomixis,0,0,n/a
208,What was the name of the film's soundtrack called?,Time Stood Still,0,0,n/a
209,What can result in incarceration?,crimes,0,0,n/a
210,"In terms of finance, when being ruled by the English, where did Burma stand ?","Under British administration, Myanmar was the second-wealthiest country in South-East Asia.",0,0,n/a
212,What do cotton linters look like?,"fine, silky fibers",0,0,n/a
214,What allegation did the government level against The Sun in 2003?,racism,0,0,n/a
215,How many workers in agriculture die a year from severly poisining pesticides in developing countries?,"18,000",0,0,n/a
217,Who was Calhoun college named for?,John C. Calhoun,0,0,n/a
221,Which offshoot had little in common with Cubism?,Futurist,0,0,n/a
223,When did iron start to become melted by people?,Middle Ages,0,0,n/a
224,How far away is Evans Head from Norfolk Island?,"1,412 kilometres (877 mi)",0,0,n/a
225,What political position did Samuel Johnson say would soon poison America?,Whiggism,0,0,n/a
226,What country was in control of Samoa up until 1962?,New Zealand,0,0,n/a
227,What did Montini take charge of responding to on behalf of Pius XII?,letters,0,0,n/a
229,How much of the national popular vote and the cantonal popular vote is needed to pass a constitutional amendment?,a double majority,0,0,n/a
230,What are two major rivers located inside of Mali?,Niger and Senegal rivers,0,0,n/a
231,What is the area's primary airport?,"Raleigh-Durham International Airport,",0,0,n/a
232,What does the abbreviation NAAL represent?,National Assessment of Adult Literacy,0,0,n/a
233,What were the Turks waiting for when positioned near Akhaltsike?,reinforcements,0,0,n/a
240,What was the purpose of the castle ,The heavily fortified castle Vredenburg was built to house a large garrison whose main task was to maintain control over the city,0,0,n/a
241,Why did Karl von Loesch bury the microfilm?,personal insurance for his future well-being,0,0,n/a
242,How is the complex capacitance mathematically represented with the dielectric present?,Ccmplx(ω),0,0,n/a
244,Who accompanies the digimon as they work to save their world?,a group of mostly pre-teens,0,0,n/a
245,How are chatter marks formed?,abrasion when boulders in the glacier are repeatedly caught and released,0,0,n/a
246,It has been alleged that Comcast's internet service has done what to customers? ,has violated net neutrality practices,0,0,n/a
247,What percentage of tuberculosis infections don't ever manifest in symptoms of the disease?,25%,0,0,n/a
248,Which case concerning White and Hispanic firefighters was heard by the Supreme Court in 2009?,Ricci v. DeStefano,0,0,n/a
249,How many teams in the first round? ,92 professional teams.,0,0,n/a
255,"Before 200 AD, people built what kind of mounds for religious purposes?",earthwork,0,0,n/a
256,The Fujiwara and other noble families became richer during which century?,early tenth century,0,0,n/a
257,Whose scientific philosophy argued that a mechanism could be called a vera causa if three things could be shown as true?,John Herschel,0,0,n/a
261,Why is finding the first exemplar important in textual criticism?,split in the tradition,0,0,n/a
263,"Along with :45, :30 and :15 past the hour, at what time do TCM features begin?",top of the hour,0,0,n/a
271,What remain powered even whenever the computer is powered off?,Sleep-and-charge USB ports,0,0,n/a
273,what is another name for a low-surrogate code point? ,trailing surrogate,0,0,n/a
275,"Typically, what color are London taxi cabs?",black,0,0,n/a
277,Where are the Atlas Mountains located?,Algeria,0,0,n/a
280,By what year had national football leagues been formed in nearly every country?,2000,0,0,n/a
282,What did the military governors residence used to be called?,Hôtel des Deux-Ponts,0,0,n/a
284,What more local councils were set up?,Provincial Councils,0,0,n/a
285,What did Nasser dismiss during the war?,rational analysis,0,0,n/a
287,What is the current international unit of time?,the second,0,0,n/a
288,What previously stood where the bank is now?,the former wholesale market,0,0,n/a
290,Who taught children before they began school in Hungary?,governesses,0,0,n/a
291,What company developed the game Ridge Racer 7?,Namco Bandai Games,0,0,n/a
292,What nations allow the withold of the royal assent?,"United Kingdom, Norway, and Liechtenstein",0,0,n/a
293,What is the name of the rule that must be met for a group operation to occur?,group law,0,0,n/a
294,When was the Birao Peace Agreement signed?,Apr-07,0,0,n/a
298,What type of government does Spain have?,central government,0,0,n/a
300,Name three philosophers of the last 100 years arguing for the existence of God?,"Immanuel Kant, David Hume and Antony Flew",0,0,n/a
303,What is the name of lyrical novel written by Oskar Luts?,Kevade,0,0,n/a
305,What political ideology dominated Austrian politics in the decades before the second world war?,fascism,0,0,n/a
306,How many strings does the Neapolitan mandolin have?,8,0,0,n/a
307,What is another word for egg?,embryo,0,0,n/a
309,Dior is from which city?,Paris,0,0,n/a
310,Who could not sing at the same time he played the flute?,Marsyas,0,0,n/a
313,What did Nobunaga mean?,"an adult name (nanori) given at genpuku, the coming of age ceremony",0,0,n/a
316,What can a very strong and transparent glass be made from?,pure silica,0,0,n/a
317,Who first observed the photoelectric effect?,Alexandre Edmond Becquerel,0,0,n/a
319,What did the Arabs introduce that continues to be relevant to Palermo's culture today?,agricultural crops,0,0,n/a
320,What type of color devices are computer displays and televisions?,additive,0,0,n/a
321,What did Galvani name the effect he created of causing the frogs legs to twitch?,animal electricity,0,0,n/a
324,When was CBC's anologue upgrade extension set to expire?,31-Aug-12,0,0,n/a
328,What military overran much of East Prussia?,Russian troops,0,0,n/a
329,What did the Portuguese discover in 1488?,the Cape of Good Hope,0,0,n/a
331,What types of tools did early farmers use for food production?,"pottery, bone implements)",0,0,n/a
334,When was al-Qarawiyin University founded?,859,0,0,n/a
336,When was the 610 area code added?,1994,0,0,n/a
337,Who did Kerry share a campaign headquarters with?,Anthony R. DiFruscia,0,0,n/a
338,What empire stopped Arab invasions?,Gurjar Pratihar Empire,0,0,n/a
339,What is a belembaotuyan in Guam?,string musical instrument made from a gourd,0,0,n/a
340,Where were James's pragmatism and radical empiricism intertwined?,in James's published lectures,0,0,n/a
341,What issue did Schopenhauer discuss that Plotinus did not?,whether we know external objects,0,0,n/a
343,What does secondary education comprise of?,formal education that occurs during adolescence,0,0,n/a
346,How many seconds elapse before a time count penalty is assessed?,20,0,0,n/a
350,Who did the first wave of Greek settlement consist of?,Mycenaean Greek traders,0,0,n/a
351,Where did Adventures of Tintin debut?,"Brussels, Belgium",0,0,n/a
352,What type of etching might you see on a direction indicator?,arrows or shaped like arrows,0,0,n/a
353,How much more mass does Neptune have compared to Earth? ,17 times,0,0,n/a
354,What does the increasing demand for container traffic make companies use more often?,diesel trains,0,0,n/a
355,"How does Texas handle people who don't speak English, but live in Mexico?",". The Government of Texas, through Section 2054.116 of the Government Code, mandates that state agencies provide information on their websites in Spanish",0,0,n/a
356,Where was  fresh food sold daily in Charleston in 1840?,the Market Hall and Sheds,0,0,n/a
358,"After the limitations placed on critical habitat were lifted by the courts, where were critical habitats established primarily?","Hawaii, California and other western states",0,0,n/a
360,What emptied out to the south of the Shandong Peninsula?,The Yellow River,0,0,n/a
361,Who was the first practitioner of Tafsir?,Muhammad,0,0,n/a
362,"According to the Encyclopedia Britannica, what is the total area of the US in miles?","3,676,486 sq mi",0,0,n/a
364,What is the common term for an IFGET?,a metal–oxide–semiconductor FET (MOSFET),0,0,n/a
367,What would the antenna you are using take advantage of to allow it to work in multiple locations?,mixed polarization,0,0,n/a
368,On what is agriculture almost completely dependent?,angiosperms,0,0,n/a
369,Ghulam Ahmed and Shivlal Yadav are what kind of sportsmen?,cricketers,0,0,n/a
370,What city and state does the interstate 10 end at?,"Jacksonville, Florida",0,0,n/a
371,After whom is Olin Business School named?,John M. Olin,0,0,n/a
372,What is the special marking that shows messages can be shared with these other five countries?,USA/AUS/CAN/GBR/NZL Five Eyes,0,0,n/a
375,When was the Early Agricultural period?,1200 BC to AD 150,0,0,n/a
376,What team won the Soviet football Cup in 1973 and 1975?,FC Ararat Yerevan team,0,0,n/a
377,What part of bacteria cell is used during diffusion?,molecular channels in cell membranes,0,0,n/a
379,Do those who from Greek descent desire an education from other parts of the world ?,Hundreds of thousands of Greek students attend western universities every year,0,0,n/a
380,Which team was denied entry into the Champions League in 2012 due to being bumped out of the running by the defending champion?,Tottenham Hotspur,0,0,n/a
383,What was the median age of non-Hispanic whites in 2008?,41.6,0,0,n/a
385,Who seized the US Embassy in Iran in 1979?,a group of students,0,0,n/a
386,The 1998 Good Friday Agreement resulted in what arrangement?,policies common across the island of Ireland,0,0,n/a
389,How intense is the enforcement of school attendance?,lax.,0,0,n/a
390,Where is interest in Whitehead's work growing the fastest today?,China,0,0,n/a
391,What is one common result of using antibiotics from a young age?,increased body mass,0,0,n/a
393,What currency is Swaziland bound to?,South African Rand,0,0,n/a
394,When was the Old Testament translated into Greek?,3rd century BCE,0,0,n/a
396,What other means of pay when purchasing items may have been in place?,money-lending system,0,0,n/a
397,What game was bundled with the SNS-101?,Super Mario World 2: Yoshi's Island,0,0,n/a
399,To what world organization does Tuvalu belong?,United Nations,0,0,n/a
400,What did the monk of minor believe could alleviate the tension in the matter of the ,Proposing a solution to the theological problem of reconciling the doctrine with that of universal redemption in Christ,0,0,n/a
402,Where was Russian schooling mandatory in the 20th century?,"Poland, Bulgaria, the Czech Republic, Slovakia, Hungary, Albania, former East Germany and Cuba",0,0,n/a
405,Who were the big four?,"France, Italy, United Kingdom and the United States",0,0,n/a
406,When did true birds first appear?,Cretaceous period,0,0,n/a
409,Who was the Party leader of the Communist Party of China when it took power?,Mao Zedong,0,0,n/a
410,What was the name of a high profile terrorist group in Egypt in 1990s?,Al-Gama'a al-Islamiyya,0,0,n/a
412,What is a scholae monasticae?,monastic schools,0,0,n/a
417,"Besides boarding bridges, what also doubled in 2014 at Brasilia's airport?",the number of parking spaces,0,0,n/a
422,In what year of high school did Eisenhower suffer a groin infection?,freshman,0,0,n/a
423,When was 'The Wanderers' published?,1974,0,0,n/a
425,What are three international organizations that Portugal belongs to?,"United Nations, the European Union, the Eurozone, OECD, NATO and the Community of Portuguese Language Countries",0,0,n/a
426,What well known socialist adopted the usage of this term in Germany?,Karl Marx,0,0,n/a
428,"What was Spain's first national police force called, in Spanish?",Santa Hermandad,0,0,n/a
429,Which phrase is especially contentious within international humanitarian law?,"""in whole or in part""",0,0,n/a
431,How were the different factions distinguished from eachother?,by clan loyalties,0,0,n/a
435,When did Gardezi die?,1150 AD,0,0,n/a
436,What type of university is the University of Richmond?,private,0,0,n/a
437,Why are the presence of certain enymzes a tell tale sign of a virus?,humans can make neither RNA replicases nor reverse transcriptase,0,0,n/a
0,What century did the Normans first gain their separate identity?,10th century,1,2,"The distinct cultural and ethnic identity of the Normans emerged initially in the first half of the 10th century, and it continued to evolve over the succeeding centuries."
6,How many helicopters were deployed?,20,1,1,"The 820-foot-long (250 m), 19,500-ton flattop Izumo was deployed in March 2015."
41,With what sort of agencies does UNFPA work?,United Nations agencies,1,1,"UNFPA works in partnership with governments, along with other United Nations agencies, communities, NGOs, foundations and the private sector, to raise awareness and mobilize the support and resources needed to achieve its mission to promote the rights and health of women and young people."
42,Who eliminated the Karachay Autonomous Oblast?,Joseph Stalin,1,1,"In 1943, Karachay Autonomous Oblast was dissolved by Joseph Stalin, when the Karachays were exiled to Central Asia for their alleged collaboration with the Germans and territory was incorporated into the Georgian SSR."
43,What sort of mill did Bell's neighbors run?,flour,1,1,"His best friend was Ben Herdman, a neighbor whose family operated a flour mill, the scene of many forays."
51,"The increased revenue funds what, in addition to Google?",Google Chrome,1,2,"Users searching for websites or items on the Internet would be led to Google's search results page, increasing ad revenue and which funds development at Google and of Google Chrome."
52,How much was China going to invest in the European Galileo positioning system project?,"€230 million (USD296 million, GBP160 million)",1,1,"In September 2003, China intended to join the European Galileo positioning system project and was to invest €230 million (USD296 million, GBP160 million) in Galileo over the next few years."
57,Who bought the Oswald the Lucky Rabbit cartoons in 2006?,Disney,1,2,"In 2006, after almost 80 years, NBC Universal sold all Walt Disney-produced Oswald cartoons, along with the rights to the character himself, back to Disney."
59,What tool is often used in measuring the thickness of paper?,caliper,1,2,"The thickness of paper is often measured by caliper, which is typically given in thousandths of an inch in the United States and in thousandths of a mm in the rest of the world."
60,What general type of instruments tend to be used in adult contemporary?,acoustic,1,2,"Adult contemporary is heavy on romantic sentimental ballads which mostly use acoustic instruments (though bass guitar is usually used) such as acoustic guitars, pianos, saxophones, and sometimes an orchestral set."
63,What types of groups are NARA's holdings classified into?,record groups,1,1,"NARA's holdings are classed into ""record groups"" reflecting the governmental department or agency from which they originated."
65,When was the University of Kansas School of Business established?,1924,1,2,The KU School of Business was founded in 1924 and currently has more than 80 faculty members and approximately 1500 students.
72,"The concerto, symphony, sonata and opera are examples of what type of musical forms?",sophisticated,1,1,"Whereas most popular styles are usually written in song forms, classical music is noted for its development of highly sophisticated musical forms, like the concerto, symphony, sonata, and opera."
75,A party's consent to a treaty is invalid if it had been given by an agent or body without power to do so under what?,that state's domestic law,1,1,A party's consent to a treaty is invalid if it had been given by an agent or body without power to do so under that state's domestic law.
78,WHat was a polish nobleman referred to as before the 15th century?,rycerz,1,1,"A Polish nobleman living at the time prior to the 15th century was referred to as a ""rycerz"", very roughly equivalent to the English ""knight,"" the critical difference being the status of ""rycerz"" was almost strictly hereditary; the class of all such individuals was known as the ""rycerstwo""."
80,Why does the alpine area fluctuate greatly?,because of regional fluctuations in tree lines.,1,1,The alpine area fluctuates greatly because of regional fluctuations in tree lines.
81,What are genes that result from divergence of the genes after a speciation event called?,orthologous genes,1,1,"These genes appear either from gene duplication within an organism's genome, where they are known as paralogous genes, or are the result of divergence of the genes after a speciation event, where they are known as orthologous genes,:7.6 and often perform the same or similar functions in related organisms."
83,What is located on East 90th Street between York Avenue and East End Avenue?,Asphalt Green,1,1,"Asphalt Green, which is located on East 90th Street between York Avenue and East End Avenue."
88,What year was NHK Color created?,1972,1,1,"This new system, NHK Color, created in 1972, included 1125 lines, a 5:3 aspect ratio and 60 Hz refresh rate."
98,Why did the Atlantic City Redevelopment Authority partner with Steve Wynn?,to develop a new roadway,1,1,"Determined to expand, in 1999 the Atlantic City Redevelopment Authority partnered with Las Vegas casino mogul Steve Wynn to develop a new roadway to a barren section of the city near the Marina."
102,Although there are challenges a unified European alphabet is feasible even in the absence of which common language rule?,letter case,1,1,"Without letter case, a ""unified European alphabet"" – such as ABБCГDΔΕZЄЗFΦGHIИJ…Z, with an appropriate subset for each language – is feasible; but considering letter case, it becomes very clear that these alphabets are rather distinct sets of symbols."
104,What has happened to some of the Shia tariqahs last Imams?,Occultation,1,2,After that there is the complete doctrinal break between all the different Shia tariqahs whose last Imams have gone into Occultation and the Shia Nizari Ismailis who deny the very concept of Occultation.
108,What percent of copper is recyclable?,100%,1,2,"Like aluminium, copper is 100% recyclable without any loss of quality, regardless of whether it is in a raw state or contained in a manufactured product."
110,What occurs in the climatic conditions of Himachal?,great variation,1,1,"Due to extreme variation in elevation, great variation occurs in the climatic conditions of Himachal ."
112,What kind of grapes are made into vinegar?,fermented,1,1,"The juice is often sold in stores or fermented and made into wine, brandy, or vinegar."
113,Why did Morris Jr make the computer worm?,he wanted to count how many machines were connected to the Internet,1,2,"The software was traced back to 23-year-old Cornell University graduate student Robert Tappan Morris, Jr. who said 'he wanted to count how many machines were connected to the Internet'."
117,What race selection did the census bureau consider getting rid of before the 2000 census?,Some other race,1,1,"Although used in the Census and the American Community Survey, ""Some other race"" is not an official race, and the Bureau considered eliminating it prior to the 2000 Census."
120,Which company was founded in Hanover in 1871?,Continental AG,1,1,"Continental AG, founded in Hanover in 1871, is one of the city's major companies, as is Sennheiser."
127,What types of species are thought to still have been dominate until after the extinction?,cycad and ferns,1,1,"By the end of the Cretaceous, angiosperms dominated tree floras in many areas, although some evidence suggests that biomass was still dominated by cycad and ferns until after the Cretaceous–Paleogene extinction."
134,What devices are often equipped with infrared blockers?,Digital cameras,1,1,Digital cameras often use infrared blockers.
135,Which scientist first used the term biological diversity?,Raymond F. Dasmann,1,1,The term biological diversity was used first by wildlife scientist and conservationist Raymond F. Dasmann in the year 1968 lay book A Different Kind of Country advocating conservation.
136,What did older operating systems use to mark the end of the text?,Control-Z (SUB),1,1,"Older operating systems such as TOPS-10, along with CP/M, tracked file length only in units of disk blocks and used Control-Z (SUB) to mark the end of the actual text in the file."
137,What is the name of the tube that helps add in animal digestion?,gastrointestinal tract,1,1,"Animals have a tube (gastrointestinal tract) in which internal digestion occurs, which is more efficient because more of the broken down products can be captured, and the internal chemical environment can be more efficiently controlled."
138,Who recieved the first perfect score?,Nadia Comăneci,1,1,"Nadia Comăneci received the first perfect score, at the 1976 Summer Olympics held in Montreal, Canada."
140,How long is the course required for all special agents?,21-week,1,1,Going through the 21-week course is required for every Special Agent.
142,What is Australia's largest free community festival?,Moomba,1,1,"The city celebrates a wide variety of annual cultural events and festivals of all types, including Australia's largest free community festival—Moomba, the Melbourne International Arts Festival, Melbourne International Film Festival, Melbourne International Comedy Festival and the Melbourne Fringe Festival."
145,How are targets aquired for non-ManPAD SAMs?,air-search radar,1,2,"Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired."
146,What style of speech did linguist Madhav Deshpande say Sanskrit started out as?,perfected manner,1,1,"Sanskrit linguist Madhav Deshpande says that when the term ""Sanskrit"" arose it was not thought of as a specific language set apart from other languages, but rather as a particularly refined or perfected manner of speaking."
151,Are adolescents with authoritative parents more or less likely to complete secondary education by age 22?,more,1,2,A study conducted by Adalbjarnardottir and Blondal (2009) showed that adolescents at the age of 14 who identify their parents as authoritative figures are more likely to complete secondary education by the age of 22—as support and encouragement from an authoritative parent motivates the adolescence to complete schooling to avoid disappointing that parent.
152,In what year was an agreement reached to ban mining in Antarctica?,1998,1,1,"In 1998, a compromise agreement was reached to place an indefinite ban on mining, to be reviewed in 2048, further limiting economic development and exploitation."
154,What percentage range of uranium oxide is usually contained in low-grade uranium ore?,0.01 to 0.25%,1,1,Low-grade uranium ore mined typically contains 0.01 to 0.25% uranium oxides.
